country,happiness_2019,happiness_2025,d_happiness,gdp_2019,gdp_2025,d_gdp,social_2019,social_2025,d_social,health_2019,health_2025,d_health,freedom_2019,freedom_2025,d_freedom,generosity_2019,generosity_2025,d_generosity,corruption_2019,corruption_2025,d_corruption,unexplained_2019,unexplained_2025,d_unexplained,d_measured_sum
Thailand,5.9987998008728,6.296,0.2972001991272002,1.00702929496765,1.632,0.6249707050323499,1.34751951694489,1.424,0.07648048305511002,0.793855845928192,0.694,-0.09985584592819208,0.609449803829193,1.087,0.47755019617080696,0.376709014177322,0.195,-0.181709014177322,0.0318378619849682,0.029,-0.002837861984968198,1.83238410949707,1.234,-0.5983841094970701,0.8945986621677846
Argentina,5.97469997406006,6.43,0.45530002593993935,1.02846562862396,1.7,0.67153437137604,1.37254369258881,1.517,0.14445630741118998,0.849773705005646,0.621,-0.22877370500564598,0.520840346813202,0.97,0.44915965318679796,0.0701004713773727,0.052,-0.018100471377372702,0.0604150593280792,0.076,0.015584940671920795,2.07254099845886,1.493,-0.57954099845886,1.03386109626293
Honduras,5.95319986343384,6.096,0.14280013656616042,0.598763585090637,1.277,0.6782364149093629,1.18666410446167,1.083,-0.10366410446166996,0.791989982128143,0.466,-0.32598998212814295,0.568148076534271,0.999,0.430851923465729,0.256528198719025,0.122,-0.134528198719025,0.0868071019649506,0.081,-0.005807101964950601,2.46429538726807,2.067,-0.3972953872680698,0.5390989511013033
Latvia,5.94999980926514,6.365,0.41500019073485994,1.14139544963837,1.797,0.6556045503616299,1.41439878940582,1.61,0.19560121059418,0.77790242433548,0.512,-0.26590242433547995,0.329198807477951,0.94,0.6108011925220489,0.0754079446196556,0.103,0.0275920553803444,0.0903915241360664,0.097,0.006608475863933608,2.12128305435181,1.305,-0.8162830543518103,1.2303050603866568
Ecuador,5.92519998550415,6.144,0.21880001449584974,0.853383600711823,1.505,0.6516163992881769,1.22102761268616,1.168,-0.053027612686159964,0.838837742805481,0.835,-0.0038377428054809926,0.555234551429749,0.86,0.304765448570251,0.115006476640701,0.058,-0.057006476640701,0.0867533832788467,0.085,-0.001753383278846693,2.25493383407593,1.634,-0.6209338340759301,0.8407566324472393
Portugal,5.9109001159668,6.029,0.11809988403319949,1.16880083084106,1.83,0.6611991691589401,1.33953034877777,1.461,0.12146965122222997,0.979315280914307,0.944,-0.03531528091430702,0.589895188808441,1.005,0.41510481119155884,0.0530369468033314,0.035,-0.0180369468033314,0.0277334656566381,0.031,0.0032665343433618994,1.75255870819092,0.724,-1.02855870819092,1.1476879381984524
Jamaica,5.88980007171631,6.305,0.41519992828368935,0.779058396816254,1.445,0.6659416031837461,1.40828919410706,1.554,0.14571080589293994,0.788434088230133,0.371,-0.41743408823013295,0.553124606609344,0.966,0.41287539339065593,0.116268493235111,0.059,-0.057268493235111004,0.030147785320878,0.082,0.051852214679122,2.21443653106689,1.827,-0.38743653106689013,0.8016774356812201
Republic of Korea,5.87239980697632,6.04,0.1676001930236799,1.24530065059662,1.906,0.6606993494033799,1.13356053829193,1.23,0.09643946170806994,1.02254259586334,1.028,0.00545740413665996,0.25935634970665,0.825,0.56564365029335,0.170303866267204,0.089,-0.08130386626720401,0.0945962816476822,0.149,0.05440371835231779,1.94675707817078,0.812,-1.1347570781707799,1.3013397176265735
Japan,5.87080001831055,6.13,0.25919998168944947,1.26672410964966,1.858,0.5912758903503401,1.33233869075775,1.414,0.08166130924225001,1.07288134098053,1.041,-0.03188134098053008,0.495465874671936,0.875,0.379534125328064,0.0357117801904678,0.019,-0.0167117801904678,0.181439638137817,0.202,0.02056036186218302,1.4862003326416,0.722,-0.7642003326416,1.0244385656118393
Peru,5.79680013656616,5.974,0.17719986343383987,0.918549180030823,1.535,0.6164508199691769,1.2084059715271,1.24,0.03159402847289994,0.824444174766541,0.605,-0.219444174766541,0.51321005821228,0.849,0.3357899417877199,0.0916118174791336,0.055,-0.036611817479133606,0.0270326603204012,0.01,-0.017032660320401197,2.21349954605103,1.68,-0.5334995460510299,0.7107461376637211
